Bus_East.0,10.0,34.0
Bus_West.0,10.0,34.0
Bus_East.0,10.0,34.0
Bus_West.0,10.0,34.0
Bus_West.1,958.0,1029.0
Bus_West.1,950.0,1026.0
Bus_East.1,1204.0,1267.0
Bus_East.1,1204.0,1267.0
Bus_West.2,1916.0,1990.0
Bus_West.2,1895.0,1919.0
Bus_East.2,2403.0,2469.0
Bus_East.2,2402.0,2467.0
Bus_West.3,2862.0,2941.0
Bus_West.3,2844.0,2863.0
Bus_East.3,3601.0,3667.0
Bus_West.4,3798.0,3820.0
Bus_East.3,3601.0,3666.0
Bus_West.4,3801.0,3821.0
Bus_West.5,4745.0,4774.0
Bus_East.4,4804.0,4866.0
Bus_West.5,4747.0,4774.0
Bus_East.4,4804.0,4869.0
Bus_West.6,5703.0,5732.0
Bus_West.6,5695.0,5732.0
Bus_East.5,6003.0,6067.0
Bus_East.5,6002.0,6066.0
Bus_West.7,6660.0,6691.0
Bus_West.7,6646.0,6686.0
